process_shortreads v2.62, executed 2023-02-13 17:06:45 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plates1_2_fastq/ -o /home/breitba1/scratch/step03_clean/plates1_2/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-1.2_R2_1D5_R2_val_2.fq	2802846	259	0	0	0	2803105
40559-1.2_R2_1D6_R2_val_2.fq	3632320	259	0	0	0	3632579
40559-1.2_R2_1D7_R2_val_2.fq	3799450	326	0	0	0	3799776
40559-1.2_R2_1D8_R2_val_2.fq	5047592	309	0	0	0	5047901
40559-1.2_R2_1D9_R2_val_2.fq	2430794	201	0	0	0	2430995
40559-1.2_R2_1E10_R2_val_2.fq	2873380	173	0	0	0	2873553
40559-1.2_R2_1E11_R2_val_2.fq	2570718	170	0	0	0	2570888
40559-1.2_R2_1E1_R2_val_2.fq	2095749	140	0	0	0	2095889
40559-1.2_R2_1E2_R2_val_2.fq	2535705	195	0	0	0	2535900
40559-1.2_R2_1E3_R2_val_2.fq	2651233	172	0	0	0	2651405
40559-1.2_R2_1E4_R2_val_2.fq	2063482	123	0	0	0	2063605
40559-1.2_R2_1E5_R2_val_2.fq	2873772	193	0	0	0	2873965
40559-1.2_R2_1E6_R2_val_2.fq	2145268	142	0	0	0	2145410
40559-1.2_R2_1E7_R2_val_2.fq	3406781	251	0	0	0	3407032
40559-1.2_R2_1E8_R2_val_2.fq	1819822	109	0	0	0	1819931
40559-1.2_R2_1E9_R2_val_2.fq	1725741	110	0	0	0	1725851
40559-1.2_R2_1F10_R2_val_2.fq	1265743	77	0	0	0	1265820
40559-1.2_R2_1F1_R2_val_2.fq	2926027	208	0	0	0	2926235
40559-1.2_R2_1F2_R2_val_2.fq	4477056	296	0	0	0	4477352
40559-1.2_R2_1F3_R2_val_2.fq	756428	47	0	0	0	756475
40559-1.2_R2_1F4_R2_val_2.fq	3289878	215	0	0	0	3290093
40559-1.2_R2_1F5_R2_val_2.fq	3389936	247	0	0	0	3390183
40559-1.2_R2_1F6_R2_val_2.fq	2770487	183	0	0	0	2770670
40559-1.2_R2_1F7_R2_val_2.fq	3720859	294	0	0	0	3721153
40559-1.2_R2_1F8_R2_val_2.fq	2526957	166	0	0	0	2527123
40559-1.2_R2_1F9_R2_val_2.fq	1977470	112	0	0	0	1977582
40559-1.2_R2_1G10_R2_val_2.fq	2273822	143	0	0	0	2273965
40559-1.2_R2_1G1_R2_val_2.fq	1902791	130	0	0	0	1902921
40559-1.2_R2_1G2_R2_val_2.fq	2829148	212	0	0	0	2829360
40559-1.2_R2_1G4_R2_val_2.fq	1786932	117	0	0	0	1787049
40559-1.2_R2_1G5_R2_val_2.fq	2438176	164	0	0	0	2438340
40559-1.2_R2_1G6_R2_val_2.fq	3642020	242	0	0	0	3642262
40559-1.2_R2_1G7_R2_val_2.fq	2581014	165	0	0	0	2581179
40559-1.2_R2_1G8_R2_val_2.fq	3643555	231	0	0	0	3643786
40559-1.2_R2_1G9_R2_val_2.fq	1974182	148	0	0	0	1974330
40559-1.2_R2_1H10_R2_val_2.fq	1367276	83	0	0	0	1367359
40559-1.2_R2_1H1_R2_val_2.fq	1923941	122	0	0	0	1924063
40559-1.2_R2_1H2_R2_val_2.fq	1705924	135	0	0	0	1706059
40559-1.2_R2_1H3_R2_val_2.fq	4017850	265	0	0	0	4018115
40559-1.2_R2_1H4_R2_val_2.fq	2720722	191	0	0	0	2720913
40559-1.2_R2_1H5_R2_val_2.fq	2301165	159	0	0	0	2301324
40559-1.2_R2_1H6_R2_val_2.fq	2439845	177	0	0	0	2440022
40559-1.2_R2_1H7_R2_val_2.fq	2204638	154	0	0	0	2204792
40559-1.2_R2_1H8_R2_val_2.fq	3084511	221	0	0	0	3084732
40559-1.2_R2_1H9_R2_val_2.fq	2431717	175	0	0	0	2431892
40559-1.2_R2_2A10_R2_val_2.fq	2712642	97	0	0	0	2712739
